nest ID;call ID;dummy;enemy type;pres order;stage;date;PC;chick age;Philornis;time;approach;spp pres;ind pres;tot ind pres;ind alarm;tot ind alarm;parents alarm;parents alarm 1;parents pres;alarm calls;latency arrival;latency alarm;latency exit;latency exit pair;total time in;visibility;cloud cov;wind;peak freq;parents call initial;closest nb;number nb;number nest spp;sgf nb;nest height;hilo pattern
wfclj01;wfclj01-1;Control;control;1;Feeding;14.02.2024;PC;11;0;07:55:00;5;0;0;2;0;0;0;0;2;0;0;;;;300;60;10;0;;;;0;1;0;5.5;0
wfclj01;wfclj01-2;Owl;predator;2;Feeding;14.02.2024;PC;11;0;09:05:00;2;4;7;9;2;4;2;1;2;382;180;45;;;300;60;20;1;8225.6837;1;;0;1;0;5.5;
wfclj01;wfclj01-3;SGF;usurper;3;Feeding;14.02.2024;PC;11;0;10:24:00;4;1;1;2;0;0;0;0;1;0;240;;;;300;60;20;1;;;;0;1;0;5.5;
wfclj01;wfclj01-4;Ani;predator;4;Feeding;14.02.2024;PC;11;0;11:17:00;4;0;0;2;0;2;2;1;2;3;180;21;120;120;120;60;20;1;8498.437333;2;;0;1;0;5.5;
wfcln01;wfcln01-1;Ani;predator;1;Feeding;14.02.2024;PC;8;0;07:21:00;1;2;2;4;1;3;2;1;2;101;0;27;;;300;80;30;0;4938.281222;1;6;2;2;1;4.5;
wfcln01;wfcln01-2;Control;control;2;Feeding;14.02.2024;PC;8;0;08:29:00;1;0;0;2;0;0;0;0;2;0;120;;;;300;80;30;1;;;6;2;2;1;4.5;
wfcln01;wfcln01-3;Owl;predator;3;Feeding;14.02.2024;PC;8;0;09:35:00;1;4;5;7;2;4;2;1;2;588;120;5;;;300;80;30;1;6132.6563;1;6;2;2;1;4.5;
wfcln01;wfcln01-4;SGF;usurper;4;Feeding;14.02.2024;PC;8;0;10:44:00;4;1;2;3;;0;0;0;1;0;300;;60;;60;80;30;2;;;6;2;2;1;4.5;
wfcln56;wfcln56-1;SGF;usurper;1;Building;20.02.2024;;;18;09:10:00;1;0;0;2;0;2;2;1;2;42;180;161;;;300;100;20;0;7717.4999;2;11.1;1;2;0;4.5;1
wfcln56;wfcln56-2;Control;control;2;Building;20.02.2024;;;18;10:34:00;5;0;0;2;0;0;0;0;2;0;240;;;;300;100;20;0;;;11.1;1;2;0;4.5;
wfcln56;wfcln56-3;Ani;predator;3;Building;20.02.2024;;;18;12:22:00;4;0;0;2;0;0;0;0;2;0;0;;;;300;100;20;0;;;11.1;1;2;0;4.5;
